Type,created_at,favorite_count,geo_enabled,id,retweet_count,source,text,time_zone,user_created_at,user_description,user_followers_count,user_friends_count,user_id,user_location,user_name,user_screen_name
,04/02/17 2:19,0,TRUE,8.48E+17,7,Twitter for iPhone,RT @Saisailu97: now how 'bout we start trying to find all those missing girls in DC https://t.co/L24QYFYELQ,Eastern Time (US & Canada),01/01/13 6:08,Cosmonaut ☕️,548,294,1051942022,NY,Tiff 🥂,SupTifff
,04/02/17 2:17,0,FALSE,8.48E+17,21,Twitter for Android,RT @AntonioArellano: The tragedy of DC's missing girls highlights the mistrust between #police and communities of color https://t.co/urhQ6Z…,,01/20/17 20:07,"Bernie independent #ExGOP in the red belt of Washington. Lover of the the wisdom teachers, metaphysics & Democracy. Missing the soul of America. #TheResistance",576,1141,8.23E+17,WA,Buddhababy,Buddhababy10
,04/02/17 2:10,0,TRUE,8.48E+17,0,Google,I liked a @YouTube video from @conspiracydode https://t.co/Es9yCPDWNB Missing DC girls (Critical Analysis),Eastern Time (US & Canada),10/03/11 1:20,,188,589,384074543,MI,Chaotic Stealth,ChaoticStealth
,04/02/17 2:00,0,TRUE,8.48E+17,0,PostIntel,"A D.C. commander worried about missing black and Latina girls. People noticed, and the uproar exposed deeper issues. https://t.co/1fiHE5HlmW",Eastern Time (US & Canada),10/23/07 22:20,Foodie in our Nation's Capitol. Connoisseur of fictional mysteries. I block egg avatars,14025,650,9637422,DC,Del Williams,delwilliams
,04/02/17 1:41,0,FALSE,8.48E+17,226,Twitter for Android,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,London,10/19/12 18:52,,6614,5754,891593282,AZ,J,jordiarae
,04/02/17 1:30,0,FALSE,8.48E+17,0,TweetDeck,"Four girls go missing, and Washington’s racial divide yawns wider. #findourgirls #America #blacklivesmatter
https://t.co/gCyLEbnchM",Central Time (US & Canada),07/25/10 23:43,"ELITE Change is a nationally recognized firm in the areas of Public Affairs, Strategic Communications, & Business Development. #PR #PublicAffairs #DigitalMedia",1309,2607,170860586,TX,"Elite Change, Inc.",EliteChange
,04/02/17 1:24,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Pacific Time (US & Canada),06/26/09 3:49,I wear clothes | canon t6 📷,1083,1022,50910141,NJ,Naim,iseentupactwice
,04/02/17 1:14,0,FALSE,8.48E+17,0,Twitter Web Client,"@rscsupporter Hopefully, they will find the missing DC girls. Never mind what I want to do to the pervs.",Central Time (US & Canada),02/14/17 13:31,"Anti PC,  Animal Lover, Pro Israel, Pro Life, Live By KISS Motto, NO Lists, Don't Play With Willful Ignoramuses, Anti Sharia/Islam No Libs! Humor Is Mandatory:)",489,258,8.31E+17,TX,Della,Della73737
,04/02/17 1:13,0,FALSE,8.48E+17,1,Twitter for iPhone,RT @tackettdc: The story of #MissingDCGirls by @sherylnyt  https://t.co/1xtPmmR0fL https://t.co/5p7vFgCFAb,,09/17/16 11:20,#Election2016 Business & Finance News Journalists Hip-Hop/Rap Gov Officials & Agencies Fashion & Beauty NBA Political News R&B/Soul US & World News Weather,66,275,7.77E+17,IL,Sharon Lyles,SharonLyles3
,04/02/17 1:00,0,TRUE,8.48E+17,1,Twitter for Android,"RT @UntilJustice: @S_Crawford007 I write for @ATLBlackStar &amp; would like to interview you about the missing black girls in DC. Please, conta…",Eastern Time (US & Canada),01/13/10 11:06,Live Long And Prosper If You Can. You have a right to give opinions 2 any story! (I follow anyone with a good cause.I hate racism) not fond of religion either.,1723,2054,104451109,MD,Timsomor,Timsomor
,04/02/17 0:57,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,10/24/15 21:04,"If my tweets bother you, feel free to block me😊",413,824,4034261806,NC,jason taylor,jtaylor8639
,04/02/17 0:51,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,08/24/16 0:49,20 | the real mermaid..... @dopefumes is not me🤦🏾‍♀️,550,434,7.68E+17,DC,Markia,dopefumess
,04/02/17 0:47,0,TRUE,8.48E+17,3,Twitter for Android,"RT @thetartan: Missing Girls in DC: [From the Editorial Board] Where are they? It’s been long enough.
https://t.co/B8N3qcd9VF https://t.co/…",Pacific Time (US & Canada),08/01/07 16:36,"I'm an industrial designer, a professional weirdo. Trying to do too much, seeing how far I can get. Worst Jedi Ever.",1324,2249,7885302,CA,Freds4hb,freds4hb
